Activity_Type,Date,Title,Race,Distance,Calories,Time,Avg_HR,Max_HR,Avg_Run_Cadence,Max_Run_Cadence,Avg_Pace,Best_Pace,Total_Ascent,Total_Descent,Avg_Stride_Length,Best_Lap_Time,Moving_Time,Min_Elevation,Max_Elevation,7_More_Hours_Sleep
Running,2/21/22 16:14,Henrico County Running,No,1.17,120,00:10:40,162,172,153,164,09:06,08:09,--,--,1.16,01:30.6,00:10:38,165,175,Yes
Running,2/23/22 17:43,Henrico County Running,No,3.64,353,00:33:45,155,173,147,222,09:16,07:46,13,13,1.18,06:02.4,00:33:38,113,127,Yes
Running,2/26/22 17:03,Las Vegas Running,Yes,3.13,269,00:23:43,163,192,161,183,07:35,06:45,52,59,1.31,00:59.0,00:23:37,"1,954","2,004",Yes
Running,2/27/22 16:34,Clark County Running,Yes,13.21,"1,167",01:51:56,165,181,160,243,08:28,06:58,164,187,1.18,01:41.4,01:51:46,"1,997","2,193",No
Running,3/5/22 07:00,Myrtle Beach Running,Yes,13.18,"1,273",01:46:49,175,187,162,180,08:07,06:40,49,59,1.22,01:17.1,01:46:45,-19,20,No
Running,3/9/22 21:48,Henrico County Running,No,4.14,396,00:40:31,150,167,146,238,09:46,07:51,13,13,1.13,01:19.6,00:40:27,110,123,Yes
Running,3/11/22 21:33,Henrico County Running,No,4.02,403,00:38:00,157,173,147,243,09:27,08:13,36,23,1.16,00:11.2,00:37:51,115,140,Yes
Treadmill Running,3/12/22 12:11,Treadmill Running,No,7.35,638,01:02:00,153,165,147,162,08:26,07:27,--,--,1.3,02:47.2,00:59:36,--,--,Yes
Treadmill Running,3/13/22 15:09,Treadmill Running,No,4.01,346,00:33:57,150,166,146,162,08:28,07:39,--,--,1.31,00:04.3,00:32:22,--,--,Yes
Treadmill Running,3/13/22 16:37,Treadmill Running,No,1.87,165,00:15:58,148,160,147,243,08:33,06:07,--,--,1.28,07:53.7,00:15:10,--,--,Yes
Treadmill Running,3/13/22 16:56,Treadmill Running,No,2.51,221,00:20:51,151,162,149,161,08:19,07:26,--,--,1.3,04:02.2,00:20:20,--,--,Yes
Running,3/15/22 18:13,Henrico County Running,No,5.02,496,00:45:41,158,171,146,209,09:06,07:20,7,20,1.21,00:09.8,00:45:30,100,119,Yes
Running,3/20/22 07:28,New York Running,Yes,13.37,"1,310",01:49:04,175,188,161,176,08:10,06:26,472,604,1.22,02:45.6,01:49:01,-120,52,No
Treadmill Running,3/28/22 21:44,Treadmill Running,No,6.01,531,00:51:19,154,169,145,236,08:32,07:07,--,--,1.3,00:05.0,00:49:59,--,--,Yes
Treadmill Running,3/29/22 19:31,Treadmill Running,No,3.67,325,00:30:44,153,164,146,189,08:23,06:30,--,--,1.32,05:12.3,00:29:45,--,--,Yes
Treadmill Running,3/29/22 20:39,Treadmill Running,No,3.63,330,00:30:02,160,172,150,157,08:17,07:23,--,--,1.3,04:57.8,00:29:23,--,--,Yes
Treadmill Running,3/30/22 20:18,Treadmill Running,No,1.01,80,09:05.6,135,154,140,235,09:02,05:25,--,--,1.27,00:03.2,00:08:32,--,--,Yes
Treadmill Running,3/30/22 21:31,Treadmill Running,No,4.01,355,00:33:35,154,168,146,159,08:23,07:14,--,--,1.32,00:03.3,00:32:11,--,--,Yes
Running,3/31/22 08:12,Henrico County Running,No,1.36,138,00:12:37,159,174,150,161,09:15,08:06,13,7,1.16,03:27.3,00:12:31,113,127,No
Treadmill Running,3/31/22 12:52,Treadmill Running,No,1.01,72,09:15.1,127,158,135,226,09:08,06:14,--,--,1.3,00:04.9,08:18.9,--,--,No
Running,4/2/22 11:27,Henrico County Running,No,4.61,430,00:42:44,152,173,145,240,09:16,04:53,36,23,1.2,05:33.9,00:42:37,114,140,Yes
Running,4/3/22 17:36,Henrico County Running,No,4.1,361,00:36:24,149,169,150,241,08:53,07:13,23,36,1.21,00:50.1,00:36:24,100,120,Yes
Running,4/7/22 21:00,Henrico County Running,No,4.55,460,00:43:06,156,170,147,249,09:28,07:54,30,43,1.16,05:27.9,00:42:59,105,119,Yes
Running,4/8/22 20:42,Henrico County Running,No,3.71,401,00:35:50,160,172,145,163,09:40,07:34,13,20,1.15,00:01.0,00:35:42,108,121,Yes
Running,4/10/22 10:08,Henrico County Running,No,4.05,409,00:37:30,159,177,149,247,09:15,06:57,30,43,1.17,00:22.5,00:37:20,102,126,Yes
Running,4/12/22 20:33,Henrico County Running,No,4.1,425,00:38:01,160,175,148,230,09:17,06:48,7,13,1.17,00:42.0,00:37:50,110,123,Yes
Running,4/13/22 21:21,Henrico County Running,No,3.19,319,00:30:24,153,165,143,168,09:33,08:02,--,--,1.18,01:48.8,00:30:18,112,123,Yes
Running,4/15/22 20:43,Henrico County Running,No,4.24,412,00:40:35,151,168,138,220,09:35,07:21,7,7,1.21,02:04.9,00:40:27,114,126,Yes
Running,4/16/22 10:41,Henrico County Running,No,4.13,423,00:36:14,163,175,150,167,08:46,07:35,23,16,1.23,01:02.7,00:36:12,114,140,Yes
Running,4/17/22 17:42,Henrico County Running,No,3.26,274,00:29:01,141,169,150,237,08:53,07:29,--,--,1.21,02:24.7,00:28:59,113,125,Yes
Running,4/17/22 21:21,Henrico County Running,No,3.11,298,00:27:16,154,170,154,231,08:46,07:13,7,7,1.2,00:57.1,00:27:10,113,125,Yes
Treadmill Running,4/19/22 21:31,Treadmill Running,No,7.01,604,00:55:47,154,168,146,219,07:57,05:12,--,--,1.38,00:04.9,00:54:24,--,--,Yes
Treadmill Running,4/20/22 22:06,Treadmill Running,No,5.01,435,00:38:15,158,170,150,162,07:38,07:06,--,--,1.41,00:04.4,00:37:46,--,--,Yes
Running,4/23/22 07:47,Nashville Running,Yes,13.27,"1,327",02:07:49,165,181,147,250,09:38,06:15,512,623,1.13,01:57.1,02:07:45,427,628,No
Running,4/28/22 20:55,Henrico County Running,No,1.5,123,00:13:16,140,171,151,243,08:50,07:40,7,--,1.2,04:43.4,00:13:09,113,130,Yes
Running,4/30/22 10:39,Henrico County Running,No,4.06,405,00:38:22,152,175,143,249,09:27,07:35,26,20,1.19,00:30.1,00:38:01,118,134,Yes
Running,5/3/22 19:24,Henrico County Running,No,6.23,666,00:57:40,163,174,143,231,09:15,07:39,13,7,1.22,01:53.7,00:57:32,113,130,Yes
Running,5/4/22 23:09,Henrico County Running,No,1.1,111,09:32.1,161,169,152,168,08:39,07:28,10,7,1.23,00:55.2,09:26.2,111,121,Yes
Running,5/5/22 21:51,Henrico County Running,No,4.12,420,00:41:03,151,168,137,168,09:57,07:25,7,10,1.18,01:02.2,00:40:55,114,128,Yes
Running,5/6/22 21:26,Henrico County Running,No,4.15,451,00:40:13,159,175,143,235,09:42,07:37,43,7,1.16,01:15.6,00:40:11,117,159,Yes
Running,5/7/22 07:00,New Kent County Running,Yes,13.21,"1,352",01:53:02,174,188,158,249,08:33,05:54,367,420,1.19,01:43.7,01:52:21,47,199,No
Treadmill Running,5/8/22 11:45,Treadmill Running,No,1.23,89,09:33.7,137,146,153,163,07:46,07:22,--,--,1.35,01:47.2,00:09:33,--,--,Yes
Running,5/9/22 18:56,Henrico County Running,No,4.01,372,00:38:49,145,164,141,241,09:41,07:27,13,13,1.18,00:06.7,00:37:13,115,132,Yes
Treadmill Running,5/10/22 17:38,Treadmill Running,No,1.07,78,08:16.6,136,148,152,240,07:44,05:11,--,--,1.37,00:31.1,08:15.1,--,--,Yes
Treadmill Running,5/10/22 18:03,Treadmill Running,No,4.06,334,00:32:25,147,160,149,225,07:59,05:21,--,--,1.35,00:25.1,00:31:48,--,--,Yes
Running,5/12/22 22:07,Henrico County Running,No,4.02,401,00:35:48,158,172,149,240,08:55,06:18,13,7,1.21,00:11.9,00:35:43,114,128,Yes
Treadmill Running,5/13/22 21:34,Treadmill Running,No,4.18,388,00:38:14,148,161,139,159,09:09,07:09,--,--,1.26,02:09.4,00:36:14,--,--,Yes
Running,5/14/22 08:21,Henrico County Running,No,2.54,250,00:21:41,161,181,150,195,08:33,07:04,7,7,1.26,04:16.7,00:21:35,115,127,Yes
Treadmill Running,5/15/22 11:10,Treadmill Running,No,7.01,575,00:55:43,152,166,146,247,07:57,05:30,--,--,1.38,00:03.7,00:53:16,--,--,Yes
Treadmill Running,5/17/22 15:05,Treadmill Running,No,5.04,413,00:42:40,146,157,140,161,08:28,06:57,--,--,1.35,00:26.0,00:40:11,--,--,Yes
Treadmill Running,5/19/22 14:38,Treadmill Running,No,5.03,411,00:41:16,148,160,143,247,08:12,05:08,--,--,1.37,00:24.4,00:39:44,--,--,Yes
Running,5/20/22 21:00,Henrico County Running,No,3.25,342,00:32:39,153,169,140,244,10:03,07:18,7,20,1.14,02:34.2,00:32:32,102,119,Yes
Running,5/21/22 08:00,Richmond Running,Yes,6.17,860,01:11:05,173,182,129,247,11:31,05:55,466,489,1.08,01:15.7,01:08:52,-112,5,No
Running,5/22/22 07:01,Richmond Running,Yes,12.6,"1,390",02:28:46,162,186,132,247,11:48,07:16,902,925,1.03,00:05.7,02:25:07,11,148,No
Running,5/22/22 11:44,Henrico County Running,No,0.65,55,06:55.6,128,145,139,232,10:39,07:23,--,--,1.08,06:55.6,06:55.6,112,122,No
Treadmill Running,5/24/22 22:16,Treadmill Running,No,3.52,342,00:32:22,154,167,143,163,09:12,07:44,--,--,1.22,04:21.4,00:30:17,--,--,Yes
Treadmill Running,5/26/22 13:42,Treadmill Running,No,1.75,123,00:15:06,131,167,152,159,08:38,08:10,--,--,1.23,06:15.9,00:15:02,--,--,Yes
Running,5/27/22 22:29,Henrico County Running,No,2.04,195,00:18:47,152,170,148,169,09:12,08:00,75,7,1.18,00:21.3,00:18:46,129,138,Yes
Treadmill Running,5/28/22 11:25,Treadmill Running,No,7.21,584,01:03:52,145,162,141,215,08:51,05:36,--,--,1.29,01:37.5,01:00:11,--,--,Yes
Treadmill Running,5/28/22 12:36,Treadmill Running,No,3.01,265,00:25:27,150,172,146,250,08:28,05:47,--,--,1.3,00:03.7,00:24:40,--,--,Yes
Running,5/29/22 08:30,James City County Running,Yes,3.15,281,00:24:51,161,182,160,175,07:54,06:54,13,13,1.27,01:06.0,00:24:44,68,88,Yes
Treadmill Running,5/30/22 12:27,Treadmill Running,No,4.01,322,00:31:55,147,163,148,159,07:58,07:16,--,--,1.36,00:02.6,00:31:11,--,--,Yes
Treadmill Running,6/1/22 12:44,Treadmill Running,No,6.03,495,00:48:30,150,165,146,162,08:02,06:52,--,--,1.37,00:12.6,00:46:37,--,--,Yes
Running,6/2/22 09:43,Henrico County Running,No,3.53,382,00:35:04,157,175,139,241,09:56,07:20,--,7,1.16,05:12.8,00:34:09,105,119,Yes
Running,6/5/22 06:20,San Diego Running,Yes,13.26,"1,168",01:55:23,163,181,154,249,08:42,05:45,282,528,1.2,01:48.4,01:55:13,100,454,Yes
Running,6/10/22 21:13,Henrico County Running,No,4.12,430,00:42:15,153,169,134,243,10:16,07:46,16,20,1.17,01:02.0,00:40:20,108,123,Yes
Running,6/11/22 20:16,Henrico County Running,No,5.05,515,00:46:13,161,173,146,249,09:09,06:17,7,13,1.21,00:24.8,00:46:03,110,121,Yes
Treadmill Running,6/12/22 14:19,Treadmill Running,No,6.86,634,01:00:49,155,172,140,244,08:52,04:49,--,--,1.3,07:31.5,00:56:58,--,--,Yes
Treadmill Running,6/15/22 14:24,Treadmill Running,No,4.01,347,00:32:25,152,168,149,159,08:05,07:11,--,--,1.34,00:04.6,00:31:38,--,--,Yes
Treadmill Running,6/18/22 15:06,Treadmill Running,No,7.02,640,00:59:34,157,167,145,159,08:29,07:11,--,--,1.31,00:06.3,00:58:09,--,--,No
Running,6/19/22 12:28,Henrico County Running,No,4.05,433,00:38:59,160,173,139,248,09:37,05:59,23,30,1.2,00:26.0,00:38:57,107,122,Yes
Treadmill Running,6/20/22 11:53,Treadmill Running,No,3,278,00:27:16,149,166,137,244,09:04,06:40,--,--,1.29,00:04.8,00:24:41,--,--,Yes
